site,Slot 00,Slot 01,Slot 02,Slot 03,Slot 04,Slot 05
BVG0001,,,UBBPg3b,,UBBPg3b,
QXA0004,,,,,UBBPg3b,
JAS0001,,,UBBPg2c,,UBBPg3b,
JAS0002,,,,,UBBPg2c,
CUC0021,,,,,UBBPg3b,
CUC0009,,,UBBPg2c,,UBBPg3b,
CUC0020,,,UBBPg2c,,UBBPg3b,
CUC0004,,,,,UBBPg3b,
CUC0005,,,UBBPg2c,,UBBPg3b,
CUC0017,,,,,UBBPg3b,
CUC0003,,,,,UBBPg3b,
CUC0001,,,UBBPg2c,,UBBPg3b,
CUC0002,,,UBBPg2c,,UBBPg3b,
CUC0024,,,UBBPg2c,,UBBPg3b,
CUC0022,,,,,UBBPg3b,
CUC0023,,,UBBPg2a,,UBBPg3b,
CUC0019,,,,,UBBPg3a,
MCW0008,,,,,UBBPg3b,
MCW0013,,,UBBPg3a,,UBBPg3b,
MCW0021,,,UBBPg2a,,UBBPg3b,
MCW0007,,,UBBPg2c,,UBBPg3b,
MCW0003,,,,,UBBPg3b,
MCW0015,,,UBBPg2a,,UBBPg3b,
FLA0005,,,,,UBBPg3b,
CUC0018,,,,,UBBPg3b,
PQT0001,,,UBBPg2c,,UBBPg3b,
SMU0004,UBBPg2a,,UBBPg2c,,UBBPg3b,
FLA0008,,,,,UBBPg3b,
MCW0006,,,UBBPg2a,,UBBPg3b,
FLA0038,,,,,UBBPg3b,
FLA0018,,,,,UBBPg3b,
FLA0120,,,,,UBBPg3b,
FLA0125,,,UBBPg2c,,UBBPg3b,
FLA0161,,,,,UBBPg3b,
MCW0004,,,,,UBBPg3b,
FLA0164,,,UBBPg2c,,UBBPg3b,
SPM0002,,,UBBPg2c,,UBBPg3b,
FLA0035,,,,,UBBPg3b,
CUC0027,,,,,UBBPg3b,
FLA0011,,,,,UBBPg3b,
FLA0019,,,,,UBBPg3b,
CUC0012,,,,,UBBPg3b,
FLA0189,,,UBBPg2a,,UBBPg3b,
FLA0193-FLA0246,,,UBBPg3a,,UBBPg3b,
FLA0015,,,UBBPg3a,,UBBPg3b,
UBJ0001,,,UBBPg2c,,UBBPg3b,
FLA0213,,,,,UBBPg3b,
FLA0123,,,,,UBBPg3a,
FLA0230,,,,,UBBPg3a,
CUC0010,,,,,UBBPg3b,
FLA0080,,,,,UBBPg3b,
FLA0001,,,,,UBBPg3b,
FLA0184,UBBPg3b,,UBBPg3b,,UBBPg3b,
FLA0191,,,,,UBBPg3b,
FLA0016,,,,,UBBPg3a,
FLA0017,,,,,UBBPg3b,
CUC0025,,,,,UBBPg3b,
FLA0010,,,,,UBBPg3b,
FLA0013,,,,,UBBPg3b,
FLA0215,,,,,UBBPg3b,
FLA0192,,,,,UBBPg3b,
CUC0026,,,,,UBBPg3b,
CUC0006,,,,,UBBPg3b,
