site,Slot 00,Slot 01,Slot 02,Slot 03,Slot 04,Slot 05
CSS0002,,,,,UBBPg3b,
EXZ0001,,,,,UBBPg3b,
FRQ0001,,,,,UBBPg3b,
APD0001-APD0006,,,UBBPg2c,,UBBPg3b,
FLA0105,,,,,UBBPg3b,
BTT0002,,,,,UBBPg3b,
SGM0005,,,,,UBBPg3b,
NTL0005,,,,,UBBPg3b,
FLA0141,,,UBBPg2a,,UBBPg3a,
ABC0001,,,,,UBBPg3b,
JNE0035,,,,,UBBPg3b,
SGA0002,,,UBBPg2c,,UBBPg3b,
MRO0043,,,,,UBBPg2c,
EXZ0003,,,,,UBBPg3a,
AAU0002,,,,,UBBPg3b,
NTL0063,,,UBBPg3b,,UBBPg3a,
PWM0004,,,,,UBBPg3b,
NTL0046,,,,,UBBPg3a,
NTL0004,,,,,UBBPg3b,
PWM0014,,,,,UBBPg3a,
FLA0216,,,,,UBBPg3b,
PJS0002,,,,,UBBPg3b,
MCI0012,,,UBBPg2c,,UBBPg3b,
GRO0001,,,UBBPg2c,,UBBPg3b,
CAY0006,,,,,UBBPg3b,
CVL0004,,,,,UBBPg3b,
GSS0001,,,UBBPg2c,,UBBPg3b,
GSS0002,,,,,UBBPg2c,
NTL0047,,,,,UBBPg3b,
NTL0104,,,,,UBBPg3b,
FLA0074,,,,,UBBPg3a,
FLA0106,,,,,UBBPg3b,
OOS0001,,,UBBPg2c,,UBBPg3b,
EXZ0006,,,UBBPg2c,,UBBPg3b,
MCI0002,,,,,UBBPg3b,
MUM0001,,,,,UBBPg3b,
PWM0005,,,,,UBBPg3b,
NTL0002,,,,,UBBPg3b,
NTL0016,,,,,UBBPg3b,
MCI0004,,,UBBPg2c,,UBBPg3b,
PWM0011,,,,,UBBPg3b,
SOL0010,,,,,UBBPg3b,
FLA0030,,,,,UBBPg3b,
SII0002,,,,,UBBPg3b,
NTL0105,,,,,UBBPg3b,
MCI0008,,,UBBPg2c,,UBBPg3b,
NTL0013,,,,,UBBPg3b,
NTL0001,,,UBBPg2c,,UBBPg3b,
MCI0010,,,UBBPg2c,,UBBPg3b,
CAY0003,,,UBBPg2c,,UBBPg3b,
ABY0002,,,,,UBBPg2c,
FLA0053,,,,,UBBPg3b,
TIG0007,,,,,UBBPg3b,
PWM0001,,,,,UBBPg3b,
FLA0133,,,,,UBBPg3b,
MUN0001,,,UBBPg2c,,UBBPg3b,
FLA0147,,,UBBPg2c,,UBBPg3b,
FLA0045,,,UBBPg2c,,UBBPg3b,
FLA0027,,,,,UBBPg3b,
FLA0098,,,,,UBBPg3b,
PEO0006,,,,,UBBPg2c,
IBW0001,,,UBBPg2c,,UBBPg3b,
NTL0069,,,,,UBBPg3b,
CAY0008,,,UBBPg2c,,UBBPg3b,
PWM0009,,,,,UBBPg3b,
FLA0202,,,,,UBBPg3b,
ICB0001,,,,,UBBPg3b,
SNZ0003,,,UBBPg2c,,UBBPg3b,
PGY0001,,,UBBPg2c,,UBBPg3b,
SGM0001,,,,,UBBPg3b,
POS0006,,,UBBPg2c,,UBBPg3b,
INC0001,,,UBBPg2c,,UBBPg3b,
SPH0003,,,,,UBBPg3b,
CCM0003,,,,,UBBPg3b,
POS0005,,,,,UBBPg3b,
UUO0001,,,UBBPg2c,,UBBPg3b,
SGV0001,,,,,UBBPg2c,
SGM0007,,,,,UBBPg3b,
SGM0006,,,UBBPg2c,,UBBPg3b,
SGM0008,,,,,UBBPg3b,
SPH0004,,,,,UBBPg2c,
SGM0009,,,UBBPg2c,,UBBPg3b,
NTL0067,,,UBBPg2c,,UBBPg3b,
FLA0235,,,,,UBBPg3b,
NTL0028,,,,,UBBPg3b,
SPH0005,,,,,UBBPg2c,
EXZ0002,,,,,UBBPg3b,
NTL0057,,,,,UBBPg3b,
NTL0012,,,,,UBBPg3b,
CAY0005,,,,,UBBPg3b,
NTL0030,,,UBBPg2c,,UBBPg3b,
SOL0018,,,,,UBBPg2c,
NTL0029,,,,,UBBPg3b,
MEU0001,,,,,UBBPg3b,
SPH0002,,,,,UBBPg3b,
BBB0002,,,,,UBBPg3a,
PWM0012,,,,,UBBPg3b,
NTL0051,,,,,UBBPg3b,
NTL0033,,,UBBPg2c,,UBBPg3b,
QXA0006,,,,,UBBPg2c,
SGA0006,,,,,UBBPg2c,
MNH0001,,,UBBPg2c,,UBBPg3b,
PWM0029,,,,,UBBPg3b,
POS0004,,,UBBPg2c,,UBBPg3b,
SII0001,,,,,UBBPg3b,
NTL0108,,,,,UBBPg3b,
CGE0024,,,,,UBBPg3b,
PBL0002,,,,,UBBPg3b,
FLA0031,,,,,UBBPg3b,
NTL0093,,,,,UBBPg3b,
NTL0015,,,,,UBBPg3b,
SGM0010,,,,,UBBPg3b,
GXS0001,,,UBBPg2c,,UBBPg3b,
PWM0023,,,,,UBBPg3b,
SOL0019,,,UBBPg2c,,UBBPg3b,
MOP0001,,,UBBPg2c,,UBBPg3b,
SOL0003,,,,,UBBPg3b,
NTL0080,,,,,UBBPg3b,
NTL0100,,,,,UBBPg3b,
MAI0001,,,,,UBBPg3b,
SGA0008,,,,,UBBPg2c,
NTL0024,,,,,UBBPg3a,
NTL0068,,,,,UBBPg3b,
CGE0049,,,,,UBBPg3b,
SOL0008,,,,,UBBPg3b,
CGE0039,,,,,UBBPg3b,
EXZ0005,,,,,UBBPg3a,
NTL0102,,,,,UBBPg3b,
FLA0100,,,,,UBBPg3b,
NTL0061,,,,,UBBPg3b,
EXZ0007,,,UBBPg2c,,UBBPg3b,
MAI0002,,,,,UBBPg3b,
GNJ0001,,,UBBPg2c,,UBBPg3b,
GNJ0002,,,UBBPg2c,,UBBPg3b,
NTL0077,,,,,UBBPg3b,
NTL0008,,,,,UBBPg3b,
PTW0002,,,UBBPg2a,,UBBPg3a,
GBA0001,,,,,UBBPg3b,
NTL0083,,,,,UBBPg3b,
NTL0076,,,,,UBBPg3b,
SRI0009,,,,,UBBPg2c,
SRI0006,,,,,UBBPg3b,
SRI0007,,,,,UBBPg3b,
BTT0001,,,,,UBBPg3b,
NTL0072,,,,,UBBPg3b,
NTL0074,,,,,UBBPg3b,
NTL0075,,,,,UBBPg3b,
SOL0001,,,,,UBBPg3b,
MTR0001,,,,,UBBPg2c,
PBL0003,,,UBBPg2c,,UBBPg3b,
SRI0003,,,,,UBBPg3b,
BEX0001,,,,,UBBPg3b,
BEX0002,,,,,UBBPg3b,
BEX0005,,,,,UBBPg3b,
BEX0009,,,,,UBBPg3b,
PEO0007,,,,,UBBPg2c,
NCZ0002,,,,,UBBPg3b,
SRI0001,,,,,UBBPg3b,
ANO0001,,,,,UBBPg3b,
COZ0001,,,UBBPg2c,,UBBPg3b,
UUA0002,,,UBBPg2c,,UBBPg3b,
BRN0001,,,,,UBBPg3b,
SRI0002,,,UBBPg2c,,UBBPg3b,
SOL0006,,,,,UBBPg3b,
NTL0107,,,,,UBBPg3b,
LJE0001,,,UBBPg2c,,UBBPg3b,
SRI0010,,,,,UBBPg3b,
CZW0001,,,,,UBBPg3b,
JOA0002,,,,,UBBPg3b,
EXZ0012,,,UBBPg2c,,UBBPg3b,
NTL0110,,,,,UBBPg3b,
NTL0071,,,,,UBBPg3b,
JPA0063,,,,,UBBPg3b,
CAY0002,,,,,UBBPg3b,
ITJY0001,,,,,UBBPg3b,
URM0001,,,UBBPg2c,,UBBPg3b,
NTL0053,,,,,UBBPg3b,
NTL0054,,,,,UBBPg3b,
FLA0130,,,,,UBBPg3b,
NTL0086,,,UBBPg2c,,UBBPg3b,
MCI0003,,,,,UBBPg3b,
MCI0006,,,,,UBBPg3b,
TNN0001,,,,,UBBPg3b,
NCZ0001,,,,,UBBPg3b,
EXZ0011,,,UBBPg2c,,UBBPg3b,
NTL0055,,,,,UBBPg3b,
NTL0056,,,,,UBBPg3b,
NTL0070,,,,,UBBPg3b,
CAY0001,,,,,UBBPg3b,
MTN0001,,,,,UBBPg3b,
NTL0045,,,,,UBBPg3b,
UUA0001,,,UBBPg2c,,UBBPg3b,
UIN0001,,,,,UBBPg3b,
SRI0005,,,,,UBBPg3b,
PWM0016,,,,,UBBPg3b,
NTL0009,,,,,UBBPg3b,
FLA0212,,,,,UBBPg3b,
SNQ0001,,,,,UBBPg3a,
SYF0001,,,,,UBBPg2c,
FLA0093,,,UBBPg3a,,UBBPg3b,
BEX0003,,,,,UBBPg3b,
IUE0001,,,,,UBBPg3b,
MCI0005,,,,,UBBPg3b,
PWM0028,,,,,UBBPg3b,
CGE0041,,,,,UBBPg3a,
QXE0004,,,,,UBBPg2c,
NTL0052,,,,,UBBPg3b,
ACI0001,,,UBBPg2c,,UBBPg3b,
NOE0001,,,,,UBBPg3b,
CGE0043,,,,,UBBPg3b,
PLW0001,,,UBBPg2c,,UBBPg3b,
MCI0001,,,,,UBBPg3b,
SZA0006,,,UBBPg2c,,UBBPg3b,
SNZ0002,,,UBBPg2c,,UBBPg3a,
TUA0001,,,,,UBBPg3b,
JPA0094,,,,,UBBPg3b,
CGE0020,,,UBBPg2c,,UBBPg3b,
PWM0015,,,,,UBBPg3a,
CRB0001,,,,,UBBPg3a,
BEX0008,,,UBBPg2c,,UBBPg3b,
BEX0010,,,,,UBBPg3b,
SOL0005,,,UBBPg2c,,UBBPg3b,
JPA0097,,,,,UBBPg3b,
LNT0008,,,,,UBBPg2c,
MCI0011,,,,,UBBPg3b,
POS0011,,,,,UBBPg3b,
IMW0001,,,,,UBBPg3b,
CGE0032,,,,,UBBPg3a,
JPA0007,,,,,UBBPg3b,
APAR0001,,,,,UBBPg2c,
PWM0013,,,,,UBBPg3a,
JIJO0001,,,UBBPg2c,,UBBPg3b,
MLT0001,,,,,UBBPg3b,
SBTP0001,,,,,UBBPg2c,
SAM0001,,,UBBPg3b,,UBBPg2c,
NTL0109,,,,,UBBPg3a,
JOA0001,,,,,UBBPg3b,
CIC0002,,,,,UBBPg3a,
CGE0031,,,,,UBBPg3a,
ICP0001,,,UBBPg2c,,UBBPg3b,
ICP0002,,,,,UBBPg3b,
RUS0008,,,UBBPg2c,,UBBPg3a,
GRN0005,,,,,UBBPg2c,
NTL0090,,,,,UBBPg3b,
SGA0005,,,UBBPg2c,,UBBPg3a,
JPA0042,,,,,UBBPg3a,
JPA0055,,,,,UBBPg3a,
CGE0011,,,,,UBBPg3a,
CGE0026,,,,,UBBPg3a,
CGE0027,,,,,UBBPg3a,
CGE0029,,,,,UBBPg3a,
IAU0010,,,,,UBBPg2c,
NTL0006,,,,,UBBPg3a,
NTL0039,,,,,UBBPg3b,
NTL0073,,,,,UBBPg3a,
NTL0103,,,,,UBBPg3a,
CRU0009,,,,,UBBPg3a,
CRU0022,,,,,UBBPg3a,
CRU0028,,,,,UBBPg3a,
CRU0030,,,,,UBBPg3a,
CRU0032,,,,,UBBPg3a,
BEZ0004,,,,,UBBPg3a,
CGE0035,,,,,UBBPg3a,
FLA0221,,,UBBPg2a,,UBBPg3a,
SRI0014,,,,,UBBPg3a,
JPA0040,,,,,UBBPg3a,
PDJ0002,,,,,UBBPg3a,
SRI0011,,,,,UBBPg3b,
CGE0012,,,,,UBBPg3a,
CGM0002,,,,,UBBPg3a,
CBD0005,,,,,UBBPg3a,
PWM0017,,,,,UBBPg3b,
BBB0009,,,,,UBBPg2c,
SGM0004,,,,,UBBPg3a,
VZG0001,,,,,UBBPg3b,
MME0004,,,,,UBBPg3b,
EXZ0014,,,,,UBBPg3b,
TRY0001,,,UBBPg2c,,UBBPg3b,
TRY0002,,,,,UBBPg3b,
MCI0007,,,UBBPg2c,,UBBPg3a,
JOA0003,,,UBBPg2c,,UBBPg3b,
JPA0052,,,,,UBBPg3a,
NTL0050,,,,,UBBPg3b,
JPA0011,,,,,UBBPg3a,
BRN0002,,,,,UBBPg2c,
JPA0074,,,,,UBBPg3b,
SOL0007,,,,,UBBPg3a,
VCC0002,,,,,UBBPg2c,
RUS0006,,,UBBPg2c,,UBBPg3a,
NTL0066,,,,,UBBPg3a,
MCI0009,,,,,UBBPg3b,
CGE0025,,,,,UBBPg3b,
SZA0005,,,,,UBBPg3a,
MRO0013,,,,,UBBPg3a,
SZA0004,,,,,UBBPg3a,
SOL0017,,,,,UBBPg3a,
RDC0001,,,UBBPg2c,,UBBPg3b,
JMH0001,,,,,UBBPg3a,
PNS0001,,,,,UBBPg3a,
CBD0004,,,,,UBBPg3a,
CGE0051,,,,,UBBPg3a,
JPA0087,,,,,UBBPg3a,
POS0007,,,,,UBBPg3a,
JPA0091,,,,,UBBPg3a,
MRIZ0001,,,,,UBBPg3a,
CRU0018,,,,,UBBPg3a,
CRU0020,,,,,UBBPg3a,
ICP0005,,,,,UBBPg3a,
BJZ0001,,,,,UBBPg3a,
ADG0001,,,,,UBBPg3a,
CIC0006,,,,,UBBPg3a,
ADG0002,,,UBBPg2c,,UBBPg3b,
JPA0088,,,,,UBBPg3a,
POS0009,,,,,UBBPg3a,
GVT0005,,,,,UBBPg3a,
BEZ0005,,,,,UBBPg3a,
CGE0008,,,,,UBBPg3a,
RAD0001,,,,,UBBPg2c,
NTL0101,,,,,UBBPg3a,
BEZ0006,,,,,UBBPg3a,
RDC0002,,,,,UBBPg2c,
CGE0019,,,,,UBBPg3a,
BEZ0003,,,,,UBBPg3a,
CGE0016,,,,,UBBPg3a,
CGE0034,,,,,UBBPg3a,
CGM0001,,,,,UBBPg3b,
MRO0015,,,,,UBBPg3a,
PWM0022,,,,,UBBPg3b,
MCU0002,,,,,UBBPg2c,
SGA0011-SGA0010,,,,,UBBPg3a,
CGE0050,,,,,UBBPg3a,
MRO0012,,,,,UBBPg3b,
CRU0031,,,,,UBBPg2c,
JPA0075,,,,,UBBPg3a,
JPA0089,,,,,UBBPg3a,
SBT0002,,,,,UBBPg3a,
NTL0011,,,,,UBBPg3a,
SGI0004,,,,,UBBPg3a,
CRU0021,,,,,UBBPg3a,
BEZ0002,,,,,UBBPg3a,
CGE0047,,,,,UBBPg3a,
CRU0012,,,,,UBBPg3a,
SGI0001,,,,,UBBPg3a,
BQN0001,,,UBBPg2c,,UBBPg3b,
CGM0003,,,UBBPg2c,,UBBPg3b,
CBD0007,,,,,UBBPg3a,
NTL0097,,,,,UBBPg3a,
CRU0023,,,,,UBBPg3a,
NTL0096,,,UBBPg3b,,UBBPg3a,
SRI0008,,,,,UBBPg3a,
CIW0001,,,UBBPg2c,,UBBPg3b,
JPA0057,,,,,UBBPg3a,
BJM0001,,,,,UBBPg3a,
SGM0016,,,,,UBBPg3a,
JPA0082,,,,,UBBPg3a,
SRI0012,,,,,UBBPg3a,
BEX0007,,,,,UBBPg3a,
CHA0001,,,,,UBBPg3a,
SGI0003,,,,,UBBPg3a,
CGE0023,,,,,UBBPg3a,
CRU0010,,,,,UBBPg3a,
SRI0015,,,,,UBBPg3a,
JPA0096,,,,,UBBPg3a,
CHG0001,,,,,UBBPg3a,
SGI0005,,,,,UBBPg3a,
SNZ0001,,,,,UBBPg3a,
CRU0029,,,,,UBBPg3a,
PWM0024,,,,,UBBPg3a,
PWM0021,,,UBBPg2c,,UBBPg3a,
CRU0013,,,,,UBBPg3a,
ABC0003,,,,,UBBPg2c,
CRU0027,,,,,UBBPg3a,
JPA0093,,,,,UBBPg3a,
ITK0001,,,,,UBBPg3a,
CBD0010,,,,,UBBPg3a,
NTL0043,,,,,UBBPg3a,
JPA0060,,,,,UBBPg3a,
JPA0058,,,,,UBBPg3a,
CRU0011,,,,,UBBPg3a,
MME0001,,,,,UBBPg3b,
JPA0020,,,,,UBBPg3a,
CRH0002,,,,,UBBPg3a,
CRH0003,,,,,UBBPg3a,
VZG0002,,,,,UBBPg3a,
CRU0026,,,,,UBBPg3a,
QUS0001,,,,,UBBPg3a,
MME0003,,,,,UBBPg3a,
QUS0002,,,,,UBBPg3a,
PWM0025,,,,,UBBPg3a,
SNZ0004,,,,,UBBPg3a,
POS0001,,,UBBPg3b,,UBBPg3a,
NTL0078,,,,,UBBPg3a,
NTL0048,,,,,UBBPg3a,
NTL0049,,,,,UBBPg3a,
NTL0060,,,,,UBBPg3a,
TUA0004,,,,,UBBPg3a,
MAH0004,,,,,UBBPg3a,
FLA0092,,,,,UBBPg3a,
JGN0002,,,UBBPg2c,,UBBPg3b,
TAI0001,,,UBBPg2c,,UBBPg3b,
CUN0001,,,,,UBBPg3a,
JPA0051,,,,,UBBPg3a,
JPA0034,,,,,UBBPg3a,
JPA0061,,,,,UBBPg3a,
JPA0070,,,,,UBBPg3a,
SRI0013,,,,,UBBPg3b,
CRU0007,,,,,UBBPg3a,
CRU0024,,,,,UBBPg3a,
RTT0002,,,,,UBBPg3a,
RTT0001,,,,,UBBPg3a,
JPA0085,,,,,UBBPg3a,
JPA0028,,,,,UBBPg3a,
AAB0003,,,,,UBBPg3a,
POS0012,,,,,UBBPg3a,
CRU0004,,,,,UBBPg3a,
AOW0001,,,,,UBBPg3b,
JPA0019,,,,,UBBPg3a,
LVM0005,,,,,UBBPg3a,
NTL0017,,,,,UBBPg3a,
SGA0007,,,,,UBBPg2c,
SGA0009,,,,,UBBPg3a,
CGE0044,,,,,UBBPg3a,
JPA0043,,,,,UBBPg3a,
SHD0007,,,,,UBBPg3a,
CNU0001,,,,,UBBPg3a,
PUU0001,,,,,UBBPg3b,
JPA0039,,,,,UBBPg3a,
CHY0001,,,,,UBBPg2c,
NTL0065,,,,,UBBPg3a,
VJTB0002,,,,,UBBPg2c,
JPA0072,,,,,UBBPg3a,
CGE0052-CGE0055,,,UBBPg2c,,UBBPg3a,
MCU0003,,,,,UBBPg2c,
CRH0006,,,,,UBBPg2c,
CUB0001,,,,,UBBPg3b,
JPA0041,,,,,UBBPg3a,
JPA0071,,,,,UBBPg3a,
JPA0033,,,,,UBBPg3a,
JPA0077,,,,,UBBPg3a,
FBO0004,,,,,UBBPg2c,
JNE0039,,,,,UBBPg3a,
SAZ0001,,,,,UBBPg3a,
FLA0052,,,,,UBBPg3a,
JPA0035,,,,,UBBPg3a,
SZA0008,,,,,UBBPg2c,
BFA0001,,,,,UBBPg3a,
ICO0009,,,,,UBBPg2c,
CZH0004,,,,,UBBPg2c,
BJS0006,,,,,UBBPg2c,
JPA0062,,,,,UBBPg3a,
SOD0001,,,,,UBBPg3a,
CBD0001,,,,,UBBPg3a,
JPA0068,,,,,UBBPg3a,
TNN0002,,,,,UBBPg3a,
CGE0018,,,,,UBBPg3a,
LVM0006,,,,,UBBPg2c,
AAU0005,,,,,UBBPg2c,
OCR0004,,,,,UBBPg2c,
JPA0059,,,,,UBBPg3a,
NTL0099,,,,,UBBPg3a,
JPA0048,,,,,UBBPg3a,
ARAE0002,,,,,UBBPg3a,
NTL0036,,,,,UBBPg3a,
JPA0049,,,,,UBBPg3a,
JPA0050,,,,,UBBPg3a,
NTL0062,,,,,UBBPg3a,
PWM0030,,,,,UBBPg2c,
HUN0001,,,,,UBBPg2c,
AAB0002,,,,,UBBPg2c,
AAB0005,,,,,UBBPg2c,
CRU0017,,,,,UBBPg3a,
OOS0003,,,,,UBBPg2c,
MCU0001,,,,,UBBPg3a,
EXZ0015,,,,,UBBPg3a,
JZH0001,,,,,UBBPg3a,
RDC0004,,,,,UBBPg2c,
SZA0002,,,,,UBBPg3a,
GBA0004,,,,,UBBPg2c,
BEZ0001,,,,,UBBPg3b,
BBB0003,,,,,UBBPg3a,
VJTB0001,,,,,UBBPg2c,
ACA0011,,,,,UBBPg3a,
TJU0001,,,,,UBBPg3a,
FIP0001,,,,,UBBPg3a,
CRU0035,,,,,UBBPg3a,
ACA0012,,,,,UBBPg2c,
PWM0002,,,,,UBBPg3a,
SPM0004,,,,,UBBPg2c,
SGI0006,,,,,UBBPg2c,
TRY0013,,,,,UBBPg2c,
TRY0014,,,,,UBBPg2c,
PODA0002,,,,,UBBPg2c,
MME0002,,,,,UBBPg3a,
SGM0020,,,,,UBBPg2c,
ESS0002,,,,,UBBPg2c,
MRO0044,,,,,UBBPg2c,
BLA0010,,,,,UBBPg2c,
MRO0004,,,UBBPg3b,,UBBPg3a,
QTS0001,,,UBBPg2c,,UBBPg3b,
COZ0003,,,,,UBBPg3a,
PWB0008,,,,,UBBPg2c,
SWV0003,,,,,UBBPg2c,
CXS0013,,,,,UBBPg2c,
MRO0049,,,,,UBBPg2c,
NSF0006,,,,,UBBPg3a,
PFC0002,,,,,UBBPg2c,
PDZ0004,,,,,UBBPg2c,
CTO0017,,,,,UBBPg2c,
DNP0001,,,,,UBBPg3a,
LGJ0002,,,,,UBBPg2c,
VFR0003,,,,,UBBPg2c,
BJAA0002,,,,,UBBPg2c,
MUL0004,,,,,UBBPg2c,
MUL0003,,,,,UBBPg2c,
JNE0001,,,UBBPg2a,,UBBPg3a,
OOS0004,,,,,UBBPg2c,
SRI0018,,,,,UBBPg2c,
AUR0002,,,,,UBBPg2c,
ATH0005,,,,,UBBPg2c,
ATH0004,,,,,UBBPg2c,
ATH0003,,,,,UBBPg2c,
SII0003,,,,,UBBPg2c,
ICO0008,,,,,UBBPg2c,
PFC0003,,,,,UBBPg2c,
ALN0004,,,,,UBBPg2c,
UUO0002,,,,,UBBPg2c,
GABR0002,,,,,UBBPg2c,
MAH0006,,,,,UBBPg2c,
TNT0004,,,,,UBBPg2c,
BEL0001,,,,,UBBPg3a,
PUU0009,,,,,UBBPg2c,
MRY0002,,,,,UBBPg2c,
PIX0001,,,,,UBBPg3a,
SQH0003,,,,,UBBPg2c,
TMN0021,,,,,UBBPg2c,
TMN0022,,,,,UBBPg2c,
SQH0004,,,,,UBBPg2c,
SBW0003,,,,,UBBPg2c,
SBW0004,,,,,UBBPg2c,
PLV0003,,,,,UBBPg2c,
TRZV0003,,,,,UBBPg2c,
RLO0002,,,,,UBBPg2c,
CRAU0002,,,,,UBBPg2c,
FLA0087,,,,,UBBPg3a,
ACD0012,,,,,UBBPg2c,
ACD0011,,,,,UBBPg2c,
FBO0005,,,,,UBBPg2c,
CUR0005,,,,,UBBPg2c,
TTM0003,,,,,UBBPg2c,
PHE0006,,,,,UBBPg2c,
SIS0008,,,,,UBBPg2c,
PAO0003,,,,,UBBPg2c,
PAO0002,,,,,UBBPg2c,
BBL0009,,,,,UBBPg2c,
TTM0004,,,,,UBBPg2c,
TTM0005,,,,,UBBPg2c,
RJP0003,,,,,UBBPg2c,
PHE0007,,,,,UBBPg2c,
QXO0002,,,,,UBBPg2c,
GIM0002,,,,,UBBPg2c,
BCE0006,,,,,UBBPg2c,
MRO0040,,,,,UBBPg2c,
JPA0032,,,,,UBBPg3a,
FLA0083,,,UBBPg3b,,UBBPg3a,
BLA0011,,,,,UBBPg2c,
CIE0006,,,,,UBBPg2c,
TVS0002,,,,,UBBPg2c,
CIC0003,,,,,UBBPg3a,
JNE0038,,,,,UBBPg2c,
FLA0085,,,,,UBBPg3a,
FLA0095,,,,,UBBPg3a,
PAF0008,,,,,UBBPg3a,
CRU0041,,,,,UBBPg2c,
NTL0025,,,,,UBBPg3a,
BCE0001,,,,,UBBPg3a,
ARR0002,,,,,UBBPg3a,
PAF0006,,,,,UBBPg3a,
NSF0007,,,,,UBBPg2c,
JPA0084,,,,,UBBPg3a,
JPA0067,,,,,UBBPg3a,
IEC0002,,,,,UBBPg2c,
NSF0003,,,,,UBBPg3a,
PAF0010,,,,,UBBPg3a,
SOA0001,,,,,UBBPg3a,
FLA0145,,,,,UBBPg3a,
SZA0003,,,,,UBBPg3a,
SOA0002,,,,,UBBPg3a,
JPA0069,,,,,UBBPg3a,
BCE0002,,,,,UBBPg3a,
BCE0003,,,,,UBBPg3a,
BAO0004,,,,,UBBPg2c,
CRU0008,,,,,UBBPg3a,
MHO0001,,,,,UBBPg3a,
MHO0002,,,,,UBBPg3a,
MAC0003,,,,,UBBPg2c,
ARR0001,,,,,UBBPg3a,
SGA0012,,,,,UBBPg3a,
PDZ0005,,,,,UBBPg2c,
JPA0073,,,,,UBBPg3a,
GME0002,,,,,UBBPg3a,
CGE0030,,,,,UBBPg3a,
JPA0046,,,,,UBBPg3a,
JPA0064,,,,,UBBPg3a,
BEX0004,,,,,UBBPg3a,
PES0003,,,,,UBBPg2c,
VTS0002,,,,,UBBPg2c,
MRO0042,,,,,UBBPg2c,
CSS0001,,,,,UBBPg3a,
PAF0011,,,,,UBBPg3a,
PAF0001,,,,,UBBPg3a,
BUMS0001,,,,,UBBPg3a,
CTS0011,,,,,UBBPg2c,
VJT0002,,,,,UBBPg2c,
NTL0092,,,,,UBBPg3a,
NTL0058,,,,,UBBPg3a,
NTL0089,,,,,UBBPg3a,
NTL0088,,,,,UBBPg3a,
NTL0095,,,,,UBBPg3a,
EXZ0013,,,,,UBBPg3a,
XXQ0004,,,,,UBBPg2c,
PAF0009,,,,,UBBPg3a,
DGA0004,,,,,UBBPg3a,
PAF0013,,,,,UBBPg3a,
PAF0012,,,,,UBBPg3a,
TDD0003,,,,,UBBPg2c,
AIB0002,,,,,UBBPg2c,
CGE0017,,,,,UBBPg3a,
CGE0002,,,,,UBBPg3a,
CGE0037,,,,,UBBPg3a,
CGE0046,,,,,UBBPg2c,
JPA0076,,,,,UBBPg3a,
NSF0004,,,,,UBBPg2c,
NSF0005,,,,,UBBPg2c,
CAY0013,,,,,UBBPg2c,
CAY0015,,,,,UBBPg2c,
POS0002,,,,,UBBPg3a,
JPA0056,,,,,UBBPg3a,
SRI0017,,,,,UBBPg2c,
CGE0007,,,,,UBBPg3a,
GRN0002,,,,,UBBPg2c,
CYO0001,,,,,UBBPg3a,
DGA0002,,,,,UBBPg3a,
CHY0003,,,,,UBBPg2c,
FLA0146,,,,,UBBPg3a,
GOH0001,,,,,UBBPg3a,
JFD0003,,,,,UBBPg2c,
JPA0081,,,,,UBBPg3a,
CGE0003,,,,,UBBPg3a,
CIW0002,,,,,UBBPg2c,
JPA0021,,,,,UBBPg3a,
PWM0026,,,,,UBBPg3a,
CAY0011,,,,,UBBPg2c,
BCE0004,,,,,UBBPg3a,
TQN0002,,,,,UBBPg2c,
GBA0002,,,,,UBBPg2c,
FLA0055,,,,,UBBPg3a,
JPA0012,,,,,UBBPg3a,
BJM0003,,,,,UBBPg3a,
CTS0008,,,,,UBBPg2c,
DGA0003,,,,,UBBPg3a,
ARR0003,,,,,UBBPg3a,
DPIP0004,,,,,UBBPg2c,
PWM0020,,,,,UBBPg3a,
IRC0001,,,,,UBBPg3a,
JPA0030,,,,,UBBPg3a,
FLA0042,,,UBBPg3b,,UBBPg3a,
TQN0005,,,,,UBBPg3a,
NTL0091,,,,,UBBPg3a,
PAF0004,,,,,UBBPg3a,
ACR0004,,,,,UBBPg3a,
NTL0038,,,,,UBBPg3a,
CRU0014,,,,,UBBPg3a,
MAH0001,,,,,UBBPg3a,
CGE0001,,,,,UBBPg3a,
JPA0031,,,,,UBBPg3a,
MCJ0005,,,,,UBBPg3b,
PAF0007,,,,,UBBPg2c,
CAY0010,,,,,UBBPg2c,
MSS0004,,,,,UBBPg2c,
JPA0037,,,,,UBBPg3a,
QUS0005,,,,,UBBPg2c,
SGM0003,,,,,UBBPg3a,
CRU0016,,,,,UBBPg3a,
CAY0009,,,,,UBBPg2c,
ACU0002,,,,,UBBPg3a,
ACU0004,,,,,UBBPg3a,
GRN0003,,,,,UBBPg2c,
JPA0002,,,,,UBBPg3a,
ERA0001,,,UBBPg2c,,UBBPg3a,
TMN0003,,,,,UBBPg3a,
BJM0005,,,,,UBBPg3a,
JPA0004,,,,,UBBPg3a,
TMN0007,,,,,UBBPg3a,
JPA0092,,,,,UBBPg2c,
JPA0018,,,,,UBBPg3a,
CGE0009,,,,,UBBPg3a,
EXZ0009,,,,,UBBPg2c,
TMN0004,,,,,UBBPg3a,
BJM0007,,,,,UBBPg3a,
ACV0002,,,,,UBBPg3a,
MEN0003,,,,,UBBPg3a,
